algo,axis,min_deg,max_deg,range_deg,threshold
AprilTag,BetaX,-5.49,60.03,65.52,1.0
AprilTag,BetaY,-58.61,60.26,118.87,1.0
AprilTag,BetaZ,-15.77,9.66,25.43,1.0
FaceMesh,BetaX,-52.88,61.25,114.13,1.0
FaceMesh,BetaY,-64.59,57.84,122.43,1.0
FaceMesh,BetaZ,-86.6,14.63,101.23,1.0
