algo,fps_med,jitter_ms,dt_ms_p95,ang_jitter_deg_rms,trans_jitter_mm_rms,relock_p50_ms,p95_gap_ms,drift_pos_mm,drift_ang_deg,dm_mean
AprilTag,31.171206254598424,108.94781892207885,55.218315124511776,7.5379552055531756,12.555365709700213,672.0055341720581,1312.808012962341,42.3092150537556,17.703359831667264,57.9993199288845
FaceMesh,31.13695856648519,65.54791806669886,47.758567333221436,2.7101845237786075,47.52067436332312,496.33240699768066,1452.6946067810056,42.44326483491967,34.7360496233856,118.63897656757979
