Time,ID,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,BetaX,BetaY,BetaZ,AlphaX,AlphaY,AlphaZ,DecisionMargin,Confidence,RScale
1756276792.7609997,0,-0.018578635800405963,-0.07771989132424652,-0.6230543416048278,-0.9982953143509679,-0.025944237586149083,-0.05228156349016456,-0.029249786510028464,0.9975539979795753,0.0634859914003334,0.05050658703595418,0.06490699231237648,-0.996612345405645,178.32172907944042,2.8950460017434394,176.27372463766662,178.32172907944042,2.8950460017434394,176.27372463766662,117.25408417825757,0.6499999999999999,1.1150000000000002
1756276792.7913158,0,-0.018021144592947316,-0.07863262034709541,-0.6190397888012872,-0.997922749440968,-0.021371292825075276,-0.060773793621626944,-0.024105818616506115,0.9987129851356343,0.04462379219988807,0.05974190871580289,0.04599609944827463,-0.9971535805373902,178.61623244717933,3.424998651493787,177.35896689025276,178.61623244717933,3.424998651493787,177.35896689025276,113.78048330988341,0.7549999999999999,0.8105000000000002
1756276792.7983162,0,-0.019007195240764288,-0.07931852829748776,-0.6189318824452295,-0.9971601423398309,-0.024457263072797133,-0.07122845507096419,-0.02595196371712807,0.9994603893507434,0.02013518557364878,0.07069756790748348,0.02192652279428728,-0.9972567781118955,178.5091638339295,4.054054183608215,178.74044994066304,178.5091638339295,4.054054183608215,178.74044994066304,105.66748925317644,0.8284999999999998,0.5973500000000005
1756276792.8345957,0,-0.018896597743455507,-0.07629557111196889,-0.6060780469057391,-0.9956362224014768,-0.024687772800071273,-0.08999459159465856,-0.02542561867713734,0.9996517763924702,0.0070614354251729685,0.08978892223989624,0.009318789060341677,-0.995917220261527,178.5371523683036,5.151464062504062,179.4638995180294,178.5371523683036,5.151464062504062,179.4638995180294,104.79366949711958,0.8799499999999998,0.4481450000000007
1756276792.8662467,0,-0.018769021920371297,-0.07491314846852945,-0.5973364059961614,-0.9940327057032787,-0.025567978269199126,-0.1060436630800975,-0.0242604602314345,0.9996131342745924,-0.013601906303346997,0.10635041166623876,-0.010948071654488151,-0.9942684394395058,178.60191110562016,6.104975128928398,-179.36913118743473,178.60191110562016,6.104975128928398,-179.36913118743473,107.69390992878239,0.9159649999999997,0.34370150000000077
1756276792.9000502,0,-0.016370813506402175,-0.07594862135608657,-0.5962728959542603,-0.9936381804820913,-0.026324968789738567,-0.10949959957213769,-0.021474565063329957,0.9987452117398163,-0.045242072036221256,0.11055319689443636,-0.04260279386389014,-0.9929566922134174,178.76191308159633,6.347205918331843,-177.54323209553317,178.76191308159633,6.347205918331843,-177.54323209553317,102.66639066437581,0.9411754999999997,0.27059105000000105
1756276792.9299815,0,-0.014678727034783649,-0.07553046254073163,-0.5927206360979231,-0.9934086877120231,-0.025412882204660345,-0.11177372050857251,-0.017236355678829588,0.9971447998834758,-0.0735197667859178,0.11332293334179672,-0.07110860344146074,-0.9910103325876153,179.0059767315979,6.506903852370736,-175.89585285885033,179.0059767315979,6.506903852370736,-175.89585285885033,95.22452774665301,0.9588228499999998,0.21941373500000072
1756276792.9788063,0,-0.014111348456148991,-0.07314393006810128,-0.5786747116249982,-0.9928182473556838,-0.026630337933034348,-0.1166308399144966,-0.01440219825752776,0.9944249368091572,-0.10445870828923096,0.11876238631376268,-0.10202877120536233,-0.9876667582962305,179.16890397336556,6.8206817672536975,-174.10210420795542,179.16890397336556,6.8206817672536975,-174.10210420795542,94.2037418710033,0.9711759949999998,0.18358961450000066
1756276793.007661,0,-0.013319590006076501,-0.06804985133652777,-0.5608503611472966,-0.99260074806617,-0.027831701953776617,-0.1181911642418152,-0.012174753804488948,0.9912836656439468,-0.1311810565489543,0.12081196260420435,-0.12877146653609256,-0.9842877521832041,179.2972733165051,6.938965551581045,-172.54649365185918,179.2972733165051,6.938965551581045,-172.54649365185918,86.86960231713672,0.9798231964999999,0.15851273015000045
1756276793.0366805,0,-0.01297914589779176,-0.06702110497029141,-0.5488333762299242,-0.9925843539516428,-0.02964025384028497,-0.11788874264612283,-0.009151361913996448,0.9852849737959137,-0.17067446495332786,0.1212128411741898,-0.16832996098220052,-0.9782496978635935,179.47176322456397,6.96210424829098,-170.2365790853902,179.47176322456397,6.96210424829098,-170.2365790853902,82.84972976807519,0.9858762375499999,0.14095891110500025
1756276793.0680943,0,-0.010931282130641004,-0.06575856933185546,-0.539686839451921,-0.9929577345920712,-0.027979773128274606,-0.11511763379027834,-0.0038015404076233005,0.9787347667518146,-0.20509462362968192,0.1184081314957362,-0.20321266851985867,-0.971948622998524,179.78064408057077,6.8002402230794265,-168.19084861249766,179.78064408057077,6.8002402230794265,-168.19084861249766,80.3538593718363,0.9901133662849999,0.1286712377735002
1756276793.1008155,0,-0.009981006788663682,-0.06356110769599875,-0.5330089081877105,-0.9931391726570438,-0.023489069156791227,-0.11455499711592827,0.0034496475799163633,0.9733073009173137,-0.22947984206162478,0.11688748292976982,-0.22830059485511936,-0.96654857856351,-179.80098514115923,6.712504176001153,-166.7102073650009,-179.80098514115923,6.712504176001153,-166.7102073650009,80.77933038414821,0.9930793563995,0.12006986644145012
1756276793.1326265,0,-0.011629662176242566,-0.06006679943509967,-0.5218779135377645,-0.9915445843936427,-0.020275986683089015,-0.12817262392440057,0.011489375835115358,0.9701213219925934,-0.24234812740820325,0.12925684276879926,-0.24177159671758477,-0.9616855845951272,-179.3361233624221,7.426650224691794,-165.88807059794735,-179.3361233624221,7.426650224691794,-165.88807059794735,79.98683112553769,0.99515554947965,0.11404890650901489
1756276793.16987,0,-0.011022151812864043,-0.058699196585315264,-0.5172590067171288,-0.9908441367085745,-0.01727583285580276,-0.1339008676199609,0.017497701353480617,0.9669829129359488,-0.2542398012453044,0.13387205532740704,-0.2542549737744492,-0.9578270622160192,-178.98829674086687,7.6934013799343335,-165.13369662534214,-178.98829674086687,7.6934013799343335,-165.13369662534214,78.78591633882333,0.996608884635755,0.10983423455631058
1756276793.2021928,0,-0.009374573927068764,-0.0573746457854967,-0.5142420059953088,-0.9907876428852878,-0.012229367031217013,-0.13487138053653752,0.02340856834097514,0.9654578999832235,-0.25950545714533624,0.1333862273026778,-0.26027194612942794,-0.9562774850554407,-178.64656901060445,7.665313576215959,-164.77449822243423,-178.64656901060445,7.665313576215959,-164.77449822243423,77.85218663447883,0.9976262192450285,0.10688396418941748
1756276793.2341552,0,-0.009035792864555426,-0.057407012613922885,-0.5057783462666153,-0.9903877364477429,-0.009268888489231254,-0.13800804034580963,0.029494707199147964,0.960652590311446,-0.2761823002568151,0.13513768438578835,-0.27759806993940583,-0.9511451612791624,-178.29418030616773,7.76658158203937,-163.7297623261335,-178.29418030616773,7.76658158203937,-163.7297623261335,71.7388578511209,0.9983383534715198,0.10481877493259262
1756276793.2662518,0,-0.00811700956586272,-0.0582396767629869,-0.5067912628835707,-0.9903793125283188,-0.006014902058594505,-0.13824846570273647,0.03473132447399797,0.9562710914648905,-0.2904123529205139,0.13394981305032516,-0.2924199387555041,-0.9468622006406268,-177.9915340256811,7.697897060206844,-162.8377159288731,-177.9915340256811,7.697897060206844,-162.8377159288731,72.70758975861438,0.9988368474300637,0.10337314245281526
1756276793.2985404,0,-0.008468056066998447,-0.05769777120027972,-0.5058475379717191,-0.9894094873394003,-0.0020229829832909482,-0.1451370865858714,0.0414294544254162,0.9543727941876626,-0.2957298936875436,0.13911314340779515,-0.2986109128184749,-0.9441816859465765,-177.60225967775412,7.996530939258137,-162.449699059577,-177.60225967775412,7.996530939258137,-162.449699059577,71.58231085836842,0.9991857932010446,0.10236119971697066
1756276793.3290386,0,-0.007903622660052378,-0.06031316142163017,-0.513676599530324,-0.9891584896030303,0.0006477050966706144,-0.14685047812097876,0.0458244323766765,0.9514194019494955,-0.30446878820565554,0.1395191880839611,-0.3078972264769085,-0.9411342593297836,-177.3475729785702,8.020024697936874,-161.8842080365449,-177.3475729785702,8.020024697936874,-161.8842080365449,75.57826970606794,0.9994300552407311,0.10165283980187967
1756276793.3733191,0,-0.008397540251796768,-0.06103168640807164,-0.5175246876289012,-0.9886390844355978,0.0014349015795445362,-0.15030203519513752,0.04844226537809446,0.9496413181903905,-0.3095718231859224,0.1422888177313369,-0.3133357749173796,-0.9389220332410696,-177.19481119509047,8.18031198650467,-161.54518517171326,-177.19481119509047,8.18031198650467,-161.54518517171326,75.59065166808088,0.9996010386685117,0.10115698786131633
1756276793.4050946,0,-0.009138709880975617,-0.062076899888481404,-0.5204347198626827,-0.9881277006534891,-0.001258234039423753,-0.15362963271566826,0.047897175397898874,0.9476060976670394,-0.31582992931821513,0.14597776471145185,-0.319438727319259,-0.9362955685564792,-177.22489341715075,8.393903471446817,-161.161746789679,-177.22489341715075,8.393903471446817,-161.161746789679,76.69115905421384,0.9997207270679582,0.10080989150292119
1756276793.4357843,0,-0.00829756175253054,-0.0628279375505735,-0.5212131307132033,-0.9885196601448428,-0.004202508481769399,-0.15103383869049064,0.04525732900948344,0.9454807421619559,-0.3225181240981734,0.14415497104870112,-0.32565089455325935,-0.9344361076064057,-177.37866167255893,8.2883485037339,-160.7865589409146,-177.37866167255893,8.2883485037339,-160.7865589409146,74.34013454248758,0.9998045089475707,0.10056692405204526
1756276793.468739,0,-0.0078101796957586,-0.06639140293839373,-0.5326219331064954,-0.9892037376646678,-0.005846288450939312,-0.14643014136986782,0.043304152619957965,0.9429219335459358,-0.33018627712832244,0.14000255624851443,-0.33296253265096115,-0.9324887324222955,-177.4933757877075,8.047994166369831,-160.34994464850416,-177.4933757877075,8.047994166369831,-160.34994464850416,78.51115893606433,0.9998631562632994,0.10039684683643202
1756276793.5060358,0,-0.006585974220839402,-0.07001804802318183,-0.543782062995412,-0.9904711413249425,-0.008777086058288518,-0.13744046333882612,0.0389814027518947,0.9392891240739214,-0.34090525316565645,0.13208848716659746,-0.34301443724247405,-0.9299966276289762,-177.74620615067732,7.590294714522886,-159.75430758122798,-177.74620615067732,7.590294714522886,-159.75430758122798,81.93110827338252,0.9999042093843096,0.1002777927855023
