Time,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,Yaw,Pitch,Roll
1755173721.1902626,-99.60427786514778,-23.693084862379774,-514.2224660865284,-0.437085180263903,0.33221315395969087,-0.8358175432053495,-0.03889384837762208,0.921434296303648,0.3865825993934283,0.8985787743720915,0.2014776859395503,-0.3898242274620627,152.66816236526662,-63.97187777894853,-174.91495153478516
1755173721.340834,-94.9643471184367,-23.197717847305626,-499.1101000781863,-0.4439681760362151,0.2415666807080974,-0.8628660367859825,-0.13683610967314924,0.9334013163809984,0.33171955273655046,0.8855326858770344,0.26534415642687764,-0.38134543512872215,145.16939835010436,-62.317145242343344,-162.87009879327874
1755173721.3620768,-92.68919397030551,-21.915311540547187,-488.1668513471135,-0.40969721031246314,0.2636808884325522,-0.8732815038334462,-0.12976444277474922,0.930731649827176,0.3419061061188314,0.9029448406483888,0.2533988655961244,-0.34710175692590944,143.8689855251227,-64.54789453477579,-162.42531040376758
1755173721.3821533,-91.94264754211552,-21.59516571852496,-484.78884907906445,-0.4175203268103873,0.23988425108498962,-0.8764315847694795,-0.1510841691740905,0.9327710944340237,0.3272791762598544,0.8960191686147805,0.2690606464530771,-0.35320817941425153,142.70121950734142,-63.639640332848444,-160.1068043597486
1755173721.4138432,-91.72136677962853,-21.683613964947465,-485.22037645453463,-0.41420517928503237,0.23615855541584752,-0.8790126313980671,-0.16017460910266507,0.931768515147662,0.3258090372876867,0.8959788859411044,0.2757472953329205,-0.3481167405689024,141.61684818984003,-63.63444272910146,-158.85833731580828
1755173721.4449835,-91.75589338392523,-21.454549003798444,-484.6292469156136,-0.41067803047290136,0.2384869696497674,-0.8800383631377496,-0.16734253987320252,0.9290766950755471,0.3298681085165474,0.8962923795479266,0.2827374399947237,-0.3416423720640425,140.3894187423413,-63.67491741161006,-157.83015218753246
1755173721.4600704,-92.0503343267341,-21.432410638728612,-485.0954566558412,-0.3992378182865329,0.24092081359908454,-0.8846277895389474,-0.16100581667705197,0.9314418045425277,0.32633309937349997,0.9025997404419994,0.2727147343384919,-0.3330771415584096,140.69029233828476,-64.50192399738641,-158.0366184120342
1755173721.4923108,-91.85756556652562,-20.966825665826676,-482.0796169402629,-0.389424685661582,0.275439674572057,-0.8789092102538336,-0.15955954413771,0.9196365070233967,0.35890032993070997,0.9071323861884462,0.2800030010936412,-0.3141801287583449,138.29199834016143,-65.11202862528691,-157.71954418849654
1755173721.5248797,-91.92668604953454,-21.037712998554124,-480.21432465084825,-0.3993308957490558,0.25469828655308147,-0.8807176724281063,-0.16817996432977828,0.9239840769811618,0.3434660464781125,0.9012493191666173,0.2852756707330557,-0.326140240371399,138.823731624046,-64.32277369065446,-157.16139310195624
1755173721.55092,-91.65222370320461,-20.41506792299134,-475.1293563464968,-0.37371274361720763,0.2860836963721096,-0.8823235823257644,-0.15924377225872655,0.9173337317336826,0.3648838796389434,0.9137725134052294,0.27686629136394825,-0.2972622587067911,137.0345820024437,-66.03200474743072,-156.9205268713331
1755173721.5709891,-91.84820349874235,-20.152792531491762,-474.4360598792714,-0.37129303922244167,0.28975401523987565,-0.8821474308058332,-0.15655207380308642,0.9169249961048143,0.36706947531242534,0.9152228838992802,0.27439235078725527,-0.2950862765642084,137.0811196053881,-66.23739936508431,-157.13775589747763
1755173721.599391,-92.32878928681411,-19.64098835950313,-473.56869784940636,-0.36070115686055637,0.2844793580887453,-0.8882376766726751,-0.16802396246738469,0.9169469414435452,0.36190641692858444,0.9174217260759717,0.27978527730876573,-0.2829444735721866,135.32165832825856,-66.55201961851698,-155.02267407879532
1755173721.6382358,-93.20732103938435,-19.450479384620145,-475.3134559517108,-0.36020800042717643,0.2851078172244945,-0.8882363024475746,-0.17030596418646005,0.9160532335954796,0.3631010214551662,0.9171946767130603,0.282063832805181,-0.28141414184876246,134.93393790889897,-66.5193483621516,-154.6952648096311
1755173721.665827,-94.47704982564848,-19.738393932901147,-480.96715102965453,-0.3784540789019263,0.26956032549250775,-0.8854997126385009,-0.1820048636234112,0.9163082163609899,0.3567260605096917,0.9075498552586068,0.2961696870878483,-0.29771929173361933,135.14949865680876,-65.16892564215223,-154.31632450768046
1755173721.6990175,-95.69185210562678,-19.724092159163366,-484.9573986766923,-0.3749780720455306,0.2737337102912087,-0.885698199916442,-0.18397067736267464,0.9144355716199195,0.36050294759803264,0.908595749140252,0.2981231980345707,-0.2925343115566183,134.45787525592092,-65.31201010512783,-153.86663850754033
1755173721.7312598,-96.88347973094902,-19.40398965013459,-486.3660156947886,-0.3619277657707234,0.2766135441747785,-0.8902208936793611,-0.17836379785673284,0.9167698680555035,0.35737846135381157,0.914983414045487,0.2881283675804295,-0.2824666277936245,134.4315001857179,-66.20337173441712,-153.76518393098075
1755173721.766905,-97.86199995324941,-19.45207661632991,-487.15465437102415,-0.3603765871512656,0.26789572219657376,-0.8935102671273467,-0.18783024636846535,0.9174125153257128,0.3508191489541445,0.9137004509041067,0.29425526121468887,-0.28029507178169816,133.60812440565687,-66.02184279113906,-152.47122806857766
1755173721.7989964,-99.29909580783637,-19.864251319440445,-489.87588667622,-0.36613190281753843,0.2494809177875796,-0.8964969054040708,-0.20711717820301026,0.9173791435467122,0.33987936312568706,0.9072209787215191,0.31012058726464303,-0.28420998772422096,132.50369812504672,-65.12409274828978,-150.50359029987257
1755173721.8375962,-100.62016804814128,-20.538385590368435,-492.65991571867534,-0.3649974917885155,0.23655181896043445,-0.9004554780413091,-0.2075021730641792,0.9221849109159055,0.3263707067931608,0.9075900391485884,0.30597095781386463,-0.2875101629729465,133.21833475922682,-65.17440876245416,-150.3816393471652
1755173721.8782232,-100.45323803855013,-20.257617100319422,-490.30733631845317,-0.34939167998823134,0.2565030677019488,-0.9011834609082054,-0.19390220053459953,0.9211849366422282,0.33737256724768555,0.9166937277972624,0.2926166242080987,-0.2721178433219973,132.92118546617127,-66.4474155828061,-150.97100183412735
1755173721.9083195,-99.61483627270262,-19.74308155804397,-483.5250470651025,-0.342260132984432,0.27556198769285234,-0.8982892587069286,-0.18129330658348233,0.9186967629737519,0.35089741334124586,0.9219494228847406,0.28295202533347225,-0.2644757323502095,133.06693778325842,-67.21275894698421,-152.09007774301566
