Time,ID,Raw_Tx,Raw_Ty,Raw_Tz,Raw_Qx,Raw_Qy,Raw_Qz,Raw_Qw,Processed_Tx,Processed_Ty,Processed_Tz,Processed_Qx,Processed_Qy,Processed_Qz,Processed_Qw,R00,R01,R02,R10,R11,R12,R20,R21,R22,Filtering_Enabled
2025-07-30 10:58:48.143,5,-0.04979711630682864,-0.07430804779549435,0.5860556662733641,0.11953741522486581,-0.11894895420814917,-0.0040037732491883,0.9856702909461738,-0.04979711630682864,-0.07430804779549435,0.5860556662733641,0.11953741522486581,-0.11894895420814917,-0.0040037732491883,0.9856702909461738,0.9716702321851135,0.020544900372666264,-0.2354461020148878,0.03633050174630602,0.971389552322254,0.2346964684055391,0.2335316991934701,-0.23660144696904914,0.9431239053082913,True
2025-07-30 10:58:48.174,5,-0.04851283276900194,-0.0685746369753472,0.5833621189986243,0.14379815877380092,-0.11922971478366967,0.014825246998418537,0.9822864025819076,-0.048629575204946554,-0.06909580876156184,0.5836069646739939,0.14355886206476262,-0.11922749506682294,0.014639073884809145,0.9823244652651976,0.9711289743280808,0.06341530399696371,-0.22997176878795664,0.005164749831104654,0.9582046031694009,0.28603717210207547,0.23849914167491426,-0.2789667322171999,0.9302127292917391,True
2025-07-30 10:58:48.208,5,-0.04561342338868493,-0.0648236131179991,0.5818478638344294,0.13777688210915365,-0.11283161966694544,0.004444345295435814,0.9840054899005946,-0.04719247847608982,-0.06706024863116705,0.5827688112201003,0.14054641136867002,-0.1158943064922487,0.009322162578466997,0.9832234299786239,0.9744985467964569,0.03983769786152064,-0.22082921029765712,0.022344657182629755,0.9619955571023505,0.27214934210967473,0.22327852244894364,-0.270143491397502,0.9365731127192283,True
2025-07-30 10:58:48.239,5,-0.04264741886393991,-0.06188298505754553,0.5686566407754784,0.1386358731125609,-0.13084874337360308,-0.009902789606086154,0.9816112447409537,-0.045723670104947475,-0.06538713348517042,0.5782082386747727,0.1398239934619484,-0.12163508609851086,0.001953215682806384,0.9826750946425057,0.9655610822311328,0.016839280303285742,-0.25963095947808373,0.05572203882983777,0.9613640588886708,0.26958152879184044,0.2541394319449247,-0.27476459909523865,0.9273174020877338,True
2025-07-30 10:58:48.271,5,-0.04148431175940477,-0.06224602159574843,0.5666149866221227,0.13831152922526752,-0.16052322007390663,-0.02239671753094437,0.9770366440130642,-0.04468584283751407,-0.06461816532933407,0.5753701221208563,0.13936393446364959,-0.13433762765472312,-0.00598216182481733,0.9810684529159086,0.9474613657218862,0.000639596622487526,-0.31986958495702306,0.08816925155585731,0.9607366158544141,0.2630804782508346,0.3074786879516979,-0.2774612511194463,0.9102044334009443,True
2025-07-30 10:58:48.320,5,-0.03982845381172757,-0.0649177250893337,0.5654488105458808,0.14271991317423935,-0.13072321972487833,-0.03884914208325229,0.9803230132806707,-0.04372744183405716,-0.06467727082264639,0.5734125694277146,0.14038246227485124,-0.1332735933248943,-0.015799871492445754,0.9809593659620887,0.9628043679683129,-0.03885580292286234,-0.26739105370291877,0.11348302919882886,0.9562435410858658,0.269666260802908,0.245212868962857,-0.28998020054959606,0.9250849324165975,True
2025-07-30 10:58:48.350,5,-0.04007039388737592,-0.06725182900484596,0.563714865475243,0.13196454644378708,-0.11043304339682238,-0.044505359187948096,0.9840778294482366,-0.04312223731414488,-0.065103334213491,0.571807697314913,0.13800318380533005,-0.12678183962829673,-0.023985204877928074,0.9819909349617343,0.9716476318593347,-0.058446981568442774,-0.22909567836972658,0.11673996750551763,0.9612092629708742,0.24989704433185828,0.20560316021150496,-0.2695564933822337,0.9407798028160023,True
2025-07-30 10:58:48.383,5,-0.043458726057663245,-0.07003050110594702,0.5673437744330379,0.12651823651561137,-0.11875614177741654,-0.03637566623928052,0.9841579779307642,-0.04317026342985295,-0.0658065752337279,0.5711705738420882,0.13481525063090216,-0.12455518702441427,-0.027430637025399742,0.9826283192209662,0.9691475793915808,-0.041549168997716074,-0.2429539790063913,0.10164843953002264,0.9653398934692569,0.2403881960868205,0.22454523842769436,-0.25766753119546043,0.9397802292382439,True
2025-07-30 10:58:48.414,5,-0.04646371459975746,-0.07348926658220642,0.5682072835438645,0.12512731648298842,-0.10343666457012061,-0.031499476465049255,0.9862311058138463,-0.04358413719449197,-0.06677202582853561,0.570798189966277,0.13216527578853013,-0.1187689662402619,-0.028548364788166847,0.9836723353850524,0.976617278810072,-0.036246022486145085,-0.21190780208275323,0.0880170315405859,0.9667018753043872,0.2402925018425741,0.19614202223999055,-0.25332530496757294,0.9472880221847488,True
2025-07-30 10:58:48.447,5,-0.04989565037910971,-0.07622454369883752,0.5664563606555657,0.11996148897157281,-0.10873798324613974,-0.022394789060049887,0.9865514510588089,-0.04429371066960482,-0.06783472755435047,0.5703100587016767,0.1288452233117916,-0.11604032421117667,-0.0268731620506785,0.9844853400371676,0.9753490488450358,-0.01809848253075058,-0.2199242547950709,0.07027596404264203,0.9702154291733582,0.23182603363693582,0.20917820583167945,-0.24156669042738593,0.9475705843265709,True
2025-07-30 10:58:48.479,5,-0.0533008873945836,-0.07894173773600098,0.5631616351650902,0.13658841202884914,-0.09771310567184932,-0.012268048986280347,0.9857206752693531,-0.04521127680798115,-0.06896620490318728,0.5695818447917893,0.13095407621876942,-0.11107433453506264,-0.022911762974028603,0.9848799791074564,0.9806032879080646,0.002507216814262525,-0.19598700367049832,0.0508786949382376,0.9623862013470154,0.266878545144124,0.18928431035158563,-0.2716735418120593,0.9435915093587987,True
