Time,collection_number,ID,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,tag_size
2025-07-31 16:08:10.152,1,0,-0.0017247902674651335,0.10139237640718725,0.6208782737849932,0.9612196658110095,-0.020051952743224966,0.2750539460712274,-0.07950694217831056,0.9348587323098346,0.34600259647797993,-0.26407461105457486,-0.3544531983425068,0.8970103288040459,0.08
2025-07-31 16:08:10.181,1,0,-0.0017217284278665738,0.10136405980392904,0.6205516198620679,0.9607003732976045,-0.020317990149527176,0.27684286521802814,-0.08076862602453827,0.9337066898047013,0.34880975683609466,-0.2655771484822289,-0.3574618814506394,0.8953713092978897,0.08
2025-07-31 16:08:10.215,1,0,-0.0017319942443007016,0.10128850651686043,0.6201952254440146,0.9602550811691042,-0.020429725815175603,0.278375295944224,-0.08089814323534286,0.9341413755094157,0.34761383888224356,-0.267143537279103,-0.3563179996358495,0.8953612754779577,0.08
2025-07-31 16:08:10.245,1,0,-0.0017339306873848308,0.10135763769707806,0.620319949389498,0.9603958455805444,-0.021235516783886105,0.27782885490631104,-0.08089812007264027,0.9328922749160193,0.35095227249688266,-0.26663704536381183,-0.35952893656691226,0.8942279518169413,0.08
2025-07-31 16:08:10.278,1,0,-0.0017310286585272422,0.10126596301640141,0.6201734960466608,0.9603612755794693,-0.020185926282371758,0.27802652525882793,-0.0814083293241864,0.933586152596747,0.34898363800649423,-0.2666062720267845,-0.35778404668141045,0.894936685836632,0.08
2025-07-31 16:08:10.310,1,0,-0.0017205750037525183,0.10140537278870596,0.6210658548000221,0.9616457776667127,-0.01997069561332193,0.2735663897713016,-0.07851027145895484,0.9355789284563731,0.3442792556978495,-0.2628184460254357,-0.3525524641030666,0.8981276214901929,0.08
2025-07-31 16:08:10.342,1,0,-0.0017416745601229373,0.10127386361855997,0.6200978637320539,0.9602679239628331,-0.021030875856543382,0.2782862132208803,-0.08063393646554731,0.9337207453897146,0.3488032940196306,-0.2671772492151618,-0.35738392785571854,0.8949262794287794,0.08
2025-07-31 16:08:10.374,1,0,-0.001733568211034129,0.10136175969673564,0.620108765023278,0.9601847093183973,-0.02069228187436284,0.27859855251235144,-0.08146787949782774,0.9331679596705449,0.350086480250865,-0.26722333094487266,-0.35884451858032296,0.8943278497752283,0.08
2025-07-31 16:08:10.406,1,0,-0.0017316733820350568,0.10128838601989038,0.6201434171226782,0.9604163132649035,-0.019928177493717447,0.27785494949061135,-0.08124412669410114,0.9340368436023426,0.3478139828573393,-0.2664580587866769,-0.35662030583682636,0.895445174409067,0.08
2025-07-31 16:08:10.438,1,0,-0.001717649450630486,0.10127921352004511,0.6202361143095084,0.96034339526144,-0.02024978933030286,0.2780836370767043,-0.08139819869119305,0.9335497031826271,0.3490834927885542,-0.26667376404055737,-0.3578755338378217,0.8948799952243514,0.08
2025-07-31 16:08:10.486,1,0,-0.0017272866935734807,0.10137601043849662,0.6203787766008856,0.960668334825817,-0.020698875376989445,0.27692581501391195,-0.08071616924564415,0.9333513347349481,0.34977161973321713,-0.26570895823306384,-0.35836691045158964,0.8949703386191535,0.08
2025-07-31 16:08:10.516,1,0,-0.0017345787759586514,0.10135902187417532,0.6203043207546897,0.9606277022942414,-0.020714817456586043,0.2770655408430052,-0.08078122769380364,0.9333126667376688,0.3498597709930411,-0.2658360600768235,-0.3584666824751802,0.8948926341847215,0.08
2025-07-31 16:08:10.549,1,0,-0.001739089299092879,0.10136525401633908,0.6205105789826895,0.9609298990993612,-0.020795127729318352,0.276009586209634,-0.08041518802561046,0.9331886892789495,0.3502745605045308,-0.26485302820941614,-0.3587846608546105,0.895056668923116,0.08
2025-07-31 16:08:10.580,1,0,-0.001743504930970852,0.10127512304441327,0.6201555413587727,0.9603421168731477,-0.021111611671458086,0.2780239529469263,-0.08045408963506762,0.9337356614047059,0.34880489400538606,-0.26696471306259484,-0.3573401943159342,0.8950071661755881,0.08
2025-07-31 16:08:10.612,1,0,-0.0017371142877611826,0.10120747489851196,0.6197428245327051,0.9601651133489846,-0.0209014250293022,0.27865047198825343,-0.08188864691781891,0.9323709630002373,0.35210600230609457,-0.2671651261177266,-0.36089820972921877,0.8935184819581204,0.08
2025-07-31 16:08:10.645,1,0,-0.001724380386668062,0.10139313551484684,0.6204972481220437,0.960785581380748,-0.02050448095322499,0.27653324008461755,-0.08050872901765796,0.9336768532565248,0.34894967867151816,-0.26534771746299074,-0.3575291595853872,0.8954124685771064,0.08
2025-07-31 16:08:10.679,1,0,-0.0017292094145336195,0.10136299727540009,0.6203342342841243,0.9605056391537523,-0.020793350419438916,0.27748252869717255,-0.08069603984745993,0.9335354964361288,0.34928444861844016,-0.26630258411585106,-0.35788142375944154,0.8949881676430895,0.08
2025-07-31 16:08:10.708,1,0,-0.001745339197899385,0.10127281880172555,0.6201193679793227,0.9602825851604019,-0.02110176194716641,0.27823025047679767,-0.08048527512283586,0.9338061372306601,0.34860897658946655,-0.2671693790950936,-0.3571565675065753,0.8950193903826125,0.08
2025-07-31 16:08:10.741,1,0,-0.0017451296202022192,0.10136060099140863,0.6204477776018131,0.9608079030866233,-0.02090127505761176,0.2764259576581998,-0.08001998116627337,0.933796421798803,0.3487420898743118,-0.26541472449816356,-0.3571937560158623,0.8955264623018376,0.08
2025-07-31 16:08:10.774,1,0,-0.0017280190713114736,0.10130106428555544,0.620222303049206,0.9605690745292883,-0.019888477890534384,0.27732922944605753,-0.08138076428703861,0.933646120138995,0.34882960532824475,-0.26586504896658336,-0.3576441958100247,0.8952130500285376,0.08
